Price,Address,City,State,Postal,Floor Size,Longitude,Latitude,URL
"$400,000",221 Semel Cir NW UNIT 247,Atlanta,GA,30309,1281,33.802235,-84.40022,https://www.zillow.com/homedetails/221-Semel-Cir-NW-UNIT-247-Atlanta-GA-30309/2087662968_zpid/
"$249,900",161 Marshall Dr,Monticello,GA,31064,1346,33.30423,-83.69333,https://www.zillow.com/homedetails/161-Marshall-Dr-Monticello-GA-31064/230967628_zpid/
"$220,000",959 Lakeland Dr,Ellijay,GA,30540,1152,34.649307,-84.64624,https://www.zillow.com/homedetails/959-Lakeland-Dr-Ellijay-GA-30540/2054352424_zpid/
"$276,000",679 Chatham Trl,Jonesboro,GA,30238,1838,33.51626,-84.413605,https://www.zillow.com/homedetails/679-Chatham-Trl-Jonesboro-GA-30238/35803615_zpid/
"$775,000",655 Sweet Gum Forest Ln,Johns Creek,GA,30005,2899,34.066,-84.20441,https://www.zillow.com/homedetails/655-Sweet-Gum-Forest-Ln-Johns-Creek-GA-30005/14656461_zpid/
"$328,000",10 Winged Foot Way,Covington,GA,30014,1796,33.57194,-83.84065,https://www.zillow.com/homedetails/10-Winged-Foot-Way-Covington-GA-30014/87685018_zpid/
"$312,500",112 Laurel Way,Douglasville,GA,30134,1694,33.79226,-84.79177,https://www.zillow.com/homedetails/112-Laurel-Way-Douglasville-GA-30134/237746642_zpid/
"$985,000",15230 Highgrove Rd,Milton,GA,30004,3186,34.15,-84.31149,https://www.zillow.com/homedetails/15230-Highgrove-Rd-Milton-GA-30004/14686963_zpid/
"$484,000",81 N Cross Lane Rd,Monroe,GA,30656,2426,33.893665,-83.77996,https://www.zillow.com/homedetails/81-N-Cross-Lane-Rd-Monroe-GA-30656/49888049_zpid/
"$230,000",106 Bridgette Blvd,Lagrange,GA,30241,1598,33.05426,-85.00367,https://www.zillow.com/homedetails/106-Bridgette-Blvd-Lagrange-GA-30241/70022028_zpid/
"$375,000",2607 Westchester Pkwy SE,Conyers,GA,30013,2625,33.60664,-83.99417,https://www.zillow.com/homedetails/2607-Westchester-Pkwy-SE-Conyers-GA-30013/15009440_zpid/
"$229,000",6233 Hospital Way,Douglasville,GA,30134,864,33.751907,-84.73566,https://www.zillow.com/homedetails/6233-Hospital-Way-Douglasville-GA-30134/14588272_zpid/
"$187,000",8580 Chestnut Ln,Lithia Springs,GA,30122,1232,33.746082,-84.65926,https://www.zillow.com/homedetails/8580-Chestnut-Ln-Lithia-Springs-GA-30122/49845238_zpid/
"$480,000",222 Woodford Dr,Canton,GA,30115,2391,34.178425,-84.48019,https://www.zillow.com/homedetails/222-Woodford-Dr-Canton-GA-30115/315199936_zpid/
"$345,000",807 McKenney Ln,Douglasville,GA,30134,1125,33.78394,-84.69861,https://www.zillow.com/homedetails/807-McKenney-Ln-Douglasville-GA-30134/49838788_zpid/
"$135,000",5619 Whittondale Rd,Lithonia,GA,30058,1407,33.743336,-84.159355,https://www.zillow.com/homedetails/5619-Whittondale-Rd-Lithonia-GA-30058/14494017_zpid/
"$235,000",1810 Alabama Rd,Meansville,GA,30256,1440,32.99632,-84.29046,https://www.zillow.com/homedetails/1810-Alabama-Rd-Meansville-GA-30256/82467527_zpid/
"$525,000",488 Harry McCarty Rd,Bethlehem,GA,30620,2700,33.949123,-83.72126,https://www.zillow.com/homedetails/488-Harry-McCarty-Rd-Bethlehem-GA-30620/14123236_zpid/
"$749,900",6325 Hampton Highlands Dr,Cumming,GA,30041,5552,34.299126,-84.05916,https://www.zillow.com/homedetails/6325-Hampton-Highlands-Dr-Cumming-GA-30041/60951137_zpid/
"$625,000",3545 Davyne Bnd,Cumming,GA,30040,3026,34.209793,-84.22586,https://www.zillow.com/homedetails/3545-Davyne-Bnd-Cumming-GA-30040/68629626_zpid/
"$250,000",8088 Attleboro Dr,Jonesboro,GA,30238,1040,33.53248,-84.387436,https://www.zillow.com/homedetails/8088-Attleboro-Dr-Jonesboro-GA-30238/35789878_zpid/
